"example_id","narrative","benchmark","language","model","task_id","config","prompt","generated_code","passed","LoC","Reliability","Maintainability","Security_Hotspots","CyC","CoC","load_error"
"E1","QuIP-only failure (6/7 pass, only QuIP# fails)","McEval","Java","Qwen2.5-Coder-7B","Java-21","FP","import java.util.*;

class Problem {
    /**
     * Given an array of strings words where each word can be written as a concatenation of the Morse code of each letter,
     * return the number of different transformations among all words.
     *
     * Example:
     * uniqueMorseRepresentations([""gin"",""zen"",""gig"",""msg""]) -> 2
     * uniqueMorseRepresentations([""a""]) -> 1
     */
    public int uniqueMorseRepresentations(String[] words) ","import java.util.*;

class Problem {
    /**
     * Given an array of strings words where each word can be written as a concatenation of the Morse code of each letter,
     * return the number of different transformations among all words.
     *
     * Example:
     * uniqueMorseRepresentations([""gin"",""zen"",""gig"",""msg""]) -> 2
     * uniqueMorseRepresentations([""a""]) -> 1
     */
    public int uniqueMorseRepresentations(String[] words)  {
        String[] morse = {"".-"", ""-..."", ""-.-."", ""-.."", ""."", ""..-."", ""--."", ""...."", "".."", "".---"", ""-.-"", "".-.."", ""--"", ""-."", ""---"", "".--."", ""--.-"", "".-."", ""..."", ""-"", ""..-"", ""...-"", "".--"", ""-..-"", ""-.--"", ""--..""};

        Set<String> set = new HashSet<>();
        for (String w : words) {
            StringBuilder sb = new StringBuilder();
            for (char c : w.toCharArray()) {
                sb.append(morse[c - 'a']);
            }
            set.add(sb.toString());
        }

        return set.size();
    }
    public static void main(String[] args) {
        Problem solution = new Problem();

        // Test the function with different test cases
        assert solution.uniqueMorseRepresentations(new String[]{""hello"", ""world"", ""hello""}) == 2;
        assert solution.uniqueMorseRepresentations(new String[]{""abc"", ""def"", ""ghi""}) == 3;
        assert solution.uniqueMorseRepresentations(new String[]{""aaa"", ""aaa"", ""aaa""}) == 1;
        System.out.println(""All tests passed"");
    }
}","1","22.0","0","4","0","4.0","3.0",""
"E1","QuIP-only failure (6/7 pass, only QuIP# fails)","McEval","Java","Qwen2.5-Coder-7B","Java-21","AWQ","import java.util.*;

class Problem {
    /**
     * Given an array of strings words where each word can be written as a concatenation of the Morse code of each letter,
     * return the number of different transformations among all words.
     *
     * Example:
     * uniqueMorseRepresentations([""gin"",""zen"",""gig"",""msg""]) -> 2
     * uniqueMorseRepresentations([""a""]) -> 1
     */
    public int uniqueMorseRepresentations(String[] words) ","import java.util.*;

class Problem {
    /**
     * Given an array of strings words where each word can be written as a concatenation of the Morse code of each letter,
     * return the number of different transformations among all words.
     *
     * Example:
     * uniqueMorseRepresentations([""gin"",""zen"",""gig"",""msg""]) -> 2
     * uniqueMorseRepresentations([""a""]) -> 1
     */
    public int uniqueMorseRepresentations(String[] words)  {
        String[] morse = {"".-"", ""-..."", ""-.-."", ""-.."", ""."", ""..-."", ""--."", ""...."", "".."", "".---"", ""-.-"", "".-.."", ""--"", ""-."", ""---"", "".--."", ""--.-"", "".-."", ""..."", ""-"", ""..-"", ""...-"", "".--"", ""-..-"", ""-.--"", ""--..""};

        Set<String> set = new HashSet<>();
        for (String w : words) {
            StringBuilder sb = new StringBuilder();
            for (char c : w.toCharArray()) {
                sb.append(morse[c - 'a']);
            }
            set.add(sb.toString());
        }

        return set.size();
    }
    public static void main(String[] args) {
        Problem solution = new Problem();

        // Test the function with different test cases
        assert solution.uniqueMorseRepresentations(new String[]{""hello"", ""world"", ""hello""}) == 2;
        assert solution.uniqueMorseRepresentations(new String[]{""abc"", ""def"", ""ghi""}) == 3;
        assert solution.uniqueMorseRepresentations(new String[]{""aaa"", ""aaa"", ""aaa""}) == 1;
        System.out.println(""All tests passed"");
    }
}","1","22.0","0","8","0","4.0","3.0",""
"E1","QuIP-only failure (6/7 pass, only QuIP# fails)","McEval","Java","Qwen2.5-Coder-7B","Java-21","GPTQ","import java.util.*;

class Problem {
    /**
     * Given an array of strings words where each word can be written as a concatenation of the Morse code of each letter,
     * return the number of different transformations among all words.
     *
     * Example:
     * uniqueMorseRepresentations([""gin"",""zen"",""gig"",""msg""]) -> 2
     * uniqueMorseRepresentations([""a""]) -> 1
     */
    public int uniqueMorseRepresentations(String[] words) ","import java.util.*;

class Problem {
    /**
     * Given an array of strings words where each word can be written as a concatenation of the Morse code of each letter,
     * return the number of different transformations among all words.
     *
     * Example:
     * uniqueMorseRepresentations([""gin"",""zen"",""gig"",""msg""]) -> 2
     * uniqueMorseRepresentations([""a""]) -> 1
     */
    public int uniqueMorseRepresentations(String[] words)  {
        String[] morse = {"".-"", ""-..."", ""-.-."", ""-.."", ""."", ""..-."", ""--."", ""...."", "".."", "".---"",
                ""-.-"", "".-.."", ""--"", ""-."", ""---"", "".--."", ""--.-"", "".-."", ""..."", ""-"", ""..-"", ""...-"",
                "".--"", ""-..-"", ""-.--"", ""--..""};

        Set<String> set = new HashSet<>();
        for (String w : words) {
            StringBuilder sb = new StringBuilder();
            for (char c : w.toCharArray()) {
                sb.append(morse[c - 'a']);
            }
            set.add(sb.toString());
        }

        return set.size();
    }
    public static void main(String[] args) {
        Problem solution = new Problem();

        // Test the function with different test cases
        assert solution.uniqueMorseRepresentations(new String[]{""hello"", ""world"", ""hello""}) == 2;
        assert solution.uniqueMorseRepresentations(new String[]{""abc"", ""def"", ""ghi""}) == 3;
        assert solution.uniqueMorseRepresentations(new String[]{""aaa"", ""aaa"", ""aaa""}) == 1;
        System.out.println(""All tests passed"");
    }
}","1","24.0","0","4","0","4.0","3.0",""
"E1","QuIP-only failure (6/7 pass, only QuIP# fails)","McEval","Java","Qwen2.5-Coder-7B","Java-21","GGUF","import java.util.*;

class Problem {
    /**
     * Given an array of strings words where each word can be written as a concatenation of the Morse code of each letter,
     * return the number of different transformations among all words.
     *
     * Example:
     * uniqueMorseRepresentations([""gin"",""zen"",""gig"",""msg""]) -> 2
     * uniqueMorseRepresentations([""a""]) -> 1
     */
    public int uniqueMorseRepresentations(String[] words) ","import java.util.*;

class Problem {
    /**
     * Given an array of strings words where each word can be written as a concatenation of the Morse code of each letter,
     * return the number of different transformations among all words.
     *
     * Example:
     * uniqueMorseRepresentations([""gin"",""zen"",""gig"",""msg""]) -> 2
     * uniqueMorseRepresentations([""a""]) -> 1
     */
    public int uniqueMorseRepresentations(String[] words)  {
        String[] morse = {"".-"", ""-..."", ""-.-."", ""-.."", ""."", ""..-."", ""--."", ""...."", "".."", "".---"", ""-.-"", "".-.."", ""--"", ""-."", ""---"", "".--."", ""--.-"", "".-."", ""..."", ""-"", ""..-"", ""...-"", "".--"", ""-..-"", ""-.--"", ""--..""};

        Set<String> set = new HashSet<>();
        for (String word : words) {
            StringBuilder sb = new StringBuilder();
            for (char c : word.toCharArray()) {
                sb.append(morse[c - 'a']);
            }
            set.add(sb.toString());
        }
        return set.size();
    }
    public static void main(String[] args) {
        Problem solution = new Problem();

        // Test the function with different test cases
        assert solution.uniqueMorseRepresentations(new String[]{""hello"", ""world"", ""hello""}) == 2;
        assert solution.uniqueMorseRepresentations(new String[]{""abc"", ""def"", ""ghi""}) == 3;
        assert solution.uniqueMorseRepresentations(new String[]{""aaa"", ""aaa"", ""aaa""}) == 1;
        System.out.println(""All tests passed"");
    }
}","1","22.0","0","4","0","4.0","3.0",""
"E1","QuIP-only failure (6/7 pass, only QuIP# fails)","McEval","Java","Qwen2.5-Coder-7B","Java-21","BnB","import java.util.*;

class Problem {
    /**
     * Given an array of strings words where each word can be written as a concatenation of the Morse code of each letter,
     * return the number of different transformations among all words.
     *
     * Example:
     * uniqueMorseRepresentations([""gin"",""zen"",""gig"",""msg""]) -> 2
     * uniqueMorseRepresentations([""a""]) -> 1
     */
    public int uniqueMorseRepresentations(String[] words) ","import java.util.*;

class Problem {
    /**
     * Given an array of strings words where each word can be written as a concatenation of the Morse code of each letter,
     * return the number of different transformations among all words.
     *
     * Example:
     * uniqueMorseRepresentations([""gin"",""zen"",""gig"",""msg""]) -> 2
     * uniqueMorseRepresentations([""a""]) -> 1
     */
    public int uniqueMorseRepresentations(String[] words)  {
        String[] morse = {"".-"",""-..."",""-.-."",""-.."",""."",""..-."",""--."",""...."","".."","".---"",""-.-"","".-.."",""--"",""-."",""---"","".--."",""--.-"","".-."",""..."",""-"",""..-"",""...-"","".--"",""-..-"",""-.--"",""--..""};
        Set<String> set = new HashSet<>();
        for (String word : words) {
            StringBuilder sb = new StringBuilder();
            for (char c : word.toCharArray()) {
                sb.append(morse[c - 'a']);
            }
            set.add(sb.toString());
        }
        return set.size();
    }
    public static void main(String[] args) {
        Problem solution = new Problem();

        // Test the function with different test cases
        assert solution.uniqueMorseRepresentations(new String[]{""hello"", ""world"", ""hello""}) == 2;
        assert solution.uniqueMorseRepresentations(new String[]{""abc"", ""def"", ""ghi""}) == 3;
        assert solution.uniqueMorseRepresentations(new String[]{""aaa"", ""aaa"", ""aaa""}) == 1;
        System.out.println(""All tests passed"");
    }
}","1","22.0","0","4","0","4.0","3.0",""
"E1","QuIP-only failure (6/7 pass, only QuIP# fails)","McEval","Java","Qwen2.5-Coder-7B","Java-21","AQLM","import java.util.*;

class Problem {
    /**
     * Given an array of strings words where each word can be written as a concatenation of the Morse code of each letter,
     * return the number of different transformations among all words.
     *
     * Example:
     * uniqueMorseRepresentations([""gin"",""zen"",""gig"",""msg""]) -> 2
     * uniqueMorseRepresentations([""a""]) -> 1
     */
    public int uniqueMorseRepresentations(String[] words) ","import java.util.*;

class Problem {
    /**
     * Given an array of strings words where each word can be written as a concatenation of the Morse code of each letter,
     * return the number of different transformations among all words.
     *
     * Example:
     * uniqueMorseRepresentations([""gin"",""zen"",""gig"",""msg""]) -> 2
     * uniqueMorseRepresentations([""a""]) -> 1
     */
    public int uniqueMorseRepresentations(String[] words)  {
        String[] morse = {"".-"", ""-..."", ""-.-."", ""-.."", ""."", ""..-."", ""--."", ""...."", "".."", "".---"", ""-.-"", "".-.."", ""--"", ""-."", ""---"", "".--."", ""--.-"", "".-."", ""..."", ""-"", ""..-"", ""...-"", "".--"", ""-..-"", ""-.--"", ""--..""};

        Set<String> set = new HashSet<>();
        for (String word : words) {
            StringBuilder sb = new StringBuilder();
            for (char c : word.toCharArray()) {
                sb.append(morse[c - 'a']);
            }
            set.add(sb.toString());
        }
        return set.size();
    }
    public static void main(String[] args) {
        Problem solution = new Problem();

        // Test the function with different test cases
        assert solution.uniqueMorseRepresentations(new String[]{""hello"", ""world"", ""hello""}) == 2;
        assert solution.uniqueMorseRepresentations(new String[]{""abc"", ""def"", ""ghi""}) == 3;
        assert solution.uniqueMorseRepresentations(new String[]{""aaa"", ""aaa"", ""aaa""}) == 1;
        System.out.println(""All tests passed"");
    }
}","1","22.0","0","4","0","4.0","3.0",""
"E1","QuIP-only failure (6/7 pass, only QuIP# fails)","McEval","Java","Qwen2.5-Coder-7B","Java-21","QuIP#","import java.util.*;

class Problem {
    /**
     * Given an array of strings words where each word can be written as a concatenation of the Morse code of each letter,
     * return the number of different transformations among all words.
     *
     * Example:
     * uniqueMorseRepresentations([""gin"",""zen"",""gig"",""msg""]) -> 2
     * uniqueMorseRepresentations([""a""]) -> 1
     */
    public int uniqueMorseRepresentations(String[] words) ","import java.util.*;

class Problem {
    /**
     * Given an array of strings words where each word can be written as a concatenation of the Morse code of each letter,
     * return the number of different transformations among all words.
     *
     * Example:
     * uniqueMorseRepresentations([""gin"",""zen"",""gig"",""msg""]) -> 2
     * uniqueMorseRepresentations([""a""]) -> 1
     */
    public int uniqueMorseRepresentations(String[] words)  {
        String[] morse = {"".-"", ""-..."", ""-.-."", ""-.."", ""."", ""..-."", ""--."", ""...."", "".."", "".--"", ""-."", ""---"", "".--."", ""--.."", "".""}, ans = new String[words.length];
        for (int i = 0; i < words.length; i++) {
            StringBuilder sb = new StringBuilder();
            for (char c : words[i].toCharArray()) {
                sb.append(morse[c - 'a']);
            }
            ans[i] = sb.toString();
        }
        return ans.length - new HashSet<>(Arrays.asList(ans)).size();
    }
    public static void main(String[] args) {
        Problem solution = new Problem();

        // Test the function with different test cases
        assert solution.uniqueMorseRepresentations(new String[]{""hello"", ""world"", ""hello""}) == 2;
        assert solution.uniqueMorseRepresentations(new String[]{""abc"", ""def"", ""ghi""}) == 3;
        assert solution.uniqueMorseRepresentations(new String[]{""aaa"", ""aaa"", ""aaa""}) == 1;
        System.out.println(""All tests passed"");
    }
}","0","21.0","0","5","0","4.0","3.0",""
"E2","Broad low-bit degradation (4-bit techniques all fail)","McEval","Java","Qwen2.5-Coder-7B","Java-2","FP","class Problem {
    /**
     * Given a positive integer Y indicating the start year, and a positive integer N,
     * this function finds the Nth leap year after the start year Y.
     *
     * @param Y The start year.
     * @param N The position of the leap year to find.
     * @return The Nth leap year after the start year Y.
     *
     * Example:
     * findNthLeapYear(2000, 4) => 2008
     * findNthLeapYear(1996, 10) => 2032
     */
    public static int findNthLeapYear(int Y, int N) ","class Problem {
    /**
     * Given a positive integer Y indicating the start year, and a positive integer N,
     * this function finds the Nth leap year after the start year Y.
     *
     * @param Y The start year.
     * @param N The position of the leap year to find.
     * @return The Nth leap year after the start year Y.
     *
     * Example:
     * findNthLeapYear(2000, 4) => 2008
     * findNthLeapYear(1996, 10) => 2032
     */
    public static int findNthLeapYear(int Y, int N)  {
        int count = 0;
        while (true) {
            if ((Y % 4 == 0 && Y % 100 != 0) || (Y % 400 == 0)) {
                count++;
                if (count == N) {
                    return Y;
                }
            }
            Y++;
        }
    }
    public static void main(String[] args) {
        // Test the function with the examples from the comment
        assert findNthLeapYear(2000, 4) == 2012;
        assert findNthLeapYear(1996, 10) == 2032;
        assert findNthLeapYear(2000, 1) == 2000;
        System.out.println(""All tests passed"");
    }
}","1","20.0","0","7","0","7.0","8.0",""
"E2","Broad low-bit degradation (4-bit techniques all fail)","McEval","Java","Qwen2.5-Coder-7B","Java-2","AWQ","class Problem {
    /**
     * Given a positive integer Y indicating the start year, and a positive integer N,
     * this function finds the Nth leap year after the start year Y.
     *
     * @param Y The start year.
     * @param N The position of the leap year to find.
     * @return The Nth leap year after the start year Y.
     *
     * Example:
     * findNthLeapYear(2000, 4) => 2008
     * findNthLeapYear(1996, 10) => 2032
     */
    public static int findNthLeapYear(int Y, int N) ","class Problem {
    /**
     * Given a positive integer Y indicating the start year, and a positive integer N,
     * this function finds the Nth leap year after the start year Y.
     *
     * @param Y The start year.
     * @param N The position of the leap year to find.
     * @return The Nth leap year after the start year Y.
     *
     * Example:
     * findNthLeapYear(2000, 4) => 2008
     * findNthLeapYear(1996, 10) => 2032
     */
    public static int findNthLeapYear(int Y, int N)  {
        // Calculate the number of leap years between Y and the first possible leap year after Y
        int leapYearsBefore = (Y % 4 == 0 && Y % 100 != 0 || Y % 400 == 0) ? 1 : 0;
        
        // Calculate the total number of leap years from Y to the Nth leap year
        int totalLeapYears = N + leapYearsBefore - 1;
        
        // Calculate the Nth leap year
        int nthLeapYear = Y + (totalLeapYears - leapYearsBefore) * 4;
        
        return nthLeapYear;
    }
    public static void main(String[] args) {
        // Test the function with the examples from the comment
        assert findNthLeapYear(2000, 4) == 2012;
        assert findNthLeapYear(1996, 10) == 2032;
        assert findNthLeapYear(2000, 1) == 2000;
        System.out.println(""All tests passed"");
    }
}","1","14.0","0","8","0","5.0","3.0",""
"E2","Broad low-bit degradation (4-bit techniques all fail)","McEval","Java","Qwen2.5-Coder-7B","Java-2","GPTQ","class Problem {
    /**
     * Given a positive integer Y indicating the start year, and a positive integer N,
     * this function finds the Nth leap year after the start year Y.
     *
     * @param Y The start year.
     * @param N The position of the leap year to find.
     * @return The Nth leap year after the start year Y.
     *
     * Example:
     * findNthLeapYear(2000, 4) => 2008
     * findNthLeapYear(1996, 10) => 2032
     */
    public static int findNthLeapYear(int Y, int N) ","class Problem {
    /**
     * Given a positive integer Y indicating the start year, and a positive integer N,
     * this function finds the Nth leap year after the start year Y.
     *
     * @param Y The start year.
     * @param N The position of the leap year to find.
     * @return The Nth leap year after the start year Y.
     *
     * Example:
     * findNthLeapYear(2000, 4) => 2008
     * findNthLeapYear(1996, 10) => 2032
     */
    public static int findNthLeapYear(int Y, int N)  {
        // Calculate the first leap year after Y
        int firstLeapYear = (Y % 4 == 0 && Y % 100 != 0 || Y % 400 == 0) ? Y : Y + (4 - Y % 4);
        
        // Calculate the Nth leap year
        return firstLeapYear + (N - 1) * 4;
    }
    public static void main(String[] args) {
        // Test the function with the examples from the comment
        assert findNthLeapYear(2000, 4) == 2012;
        assert findNthLeapYear(1996, 10) == 2032;
        assert findNthLeapYear(2000, 1) == 2000;
        System.out.println(""All tests passed"");
    }
}","1","12.0","0","7","0","5.0","3.0",""
